species,n_total,n_complete,dltA,DltE,prevalence,Wilson_lo,Wilson_hi,DltE_s90,DltE_s130,MprF_long_pct,MprF_short_pct
Latilactobacillus sakei,181,65,173,181,1.0000,0.9792,1.0000,181,181,0.994,1.000
Leuconostoc citreum,104,14,103,104,1.0000,0.9644,1.0000,104,104,1.000,1.000
Leuconostoc mesenteroides,337,75,335,337,1.0000,0.9887,1.0000,337,337,0.816,0.997
Levilactobacillus brevis,267,54,264,267,1.0000,0.9858,1.0000,267,267,0.985,0.989
Ligilactobacillus animalis,41,8,40,0,0.0000,0.0000,0.0857,0,0,1.000,1.000
Ligilactobacillus salivarius,342,46,341,0,0.0000,0.0000,0.0111,0,0,0.991,0.997
Limosilactobacillus antri,4,0,4,0,0.0000,0.0000,0.4899,0,0,1.000,1.000
Limosilactobacillus fermentum,387,91,384,0,0.0000,0.0000,0.0098,0,0,0.987,0.992
Limosilactobacillus mucosae,93,10,91,0,0.0000,0.0000,0.0397,0,0,0.989,0.978
Limosilactobacillus reuteri,500,79,500,0,0.0000,0.0000,0.0076,0,0,1.000,0.992
Pediococcus acidilactici,342,61,341,341,0.9971,0.9836,0.9995,341,341,0.000,0.994
Pediococcus pentosaceus,215,64,215,215,1.0000,0.9824,1.0000,215,215,0.047,0.981
