species,is_control,n_total,n_complete,dltA,dltE,prevalence,wilson_lo,wilson_hi,dltE_s90,dltE_s110,dltE_s130,A_TM,B_SP,C_CYTO,D_absent,E_no_dlt,mprF_long_pct,mprF_short_pct
Lactiplantibacillus pentosus,0,155,21,154,155,1.0000,0.9758,1.0000,155,155,155,107,47,0,0,1,0.929,1.000
Lactiplantibacillus plantarum,0,500,443,495,500,1.0000,0.9924,1.0000,500,500,499,480,15,0,0,5,0.994,1.000
Lactobacillus acidophilus,0,137,28,137,137,1.0000,0.9727,1.0000,137,137,0,0,0,137,0,0,0.000,0.993
Lactobacillus amylovorus,0,108,8,108,108,1.0000,0.9657,1.0000,108,108,58,0,0,108,0,0,0.000,0.991
Lactobacillus crispatus,0,500,45,498,495,0.9900,0.9768,0.9957,496,495,33,0,0,495,3,2,0.000,0.984
Lactobacillus delbrueckii,0,453,45,452,0,0.0000,0.0000,0.0084,448,0,0,0,0,0,452,1,0.000,0.996
Lactobacillus gasseri,0,164,25,164,158,0.9634,0.9225,0.9831,158,158,145,0,0,158,6,0,0.000,0.988
Lactobacillus helveticus,0,213,32,212,204,0.9577,0.9217,0.9776,213,204,0,0,0,203,9,1,0.000,1.000
Lactobacillus jensenii,0,148,8,147,142,0.9595,0.9144,0.9813,143,142,0,0,0,141,6,1,0.000,0.993
Lactobacillus johnsonii,0,123,29,123,123,1.0000,0.9697,1.0000,123,123,8,0,0,123,0,0,0.000,0.992
Lactobacillus kefiranofaciens,0,18,7,18,18,1.0000,0.8241,1.0000,18,18,0,0,0,18,0,0,0.000,1.000
Lactobacillus paragasseri,0,116,8,116,116,1.0000,0.9679,1.0000,116,116,112,0,0,116,0,0,0.000,0.991
Lactococcus garvieae,0,131,33,125,0,0.0000,0.0000,0.0285,0,0,0,0,0,0,125,6,0.000,0.000
Lactococcus lactis,0,500,117,500,0,0.0000,0.0000,0.0076,0,0,0,0,0,0,500,0,0.000,0.000
Latilactobacillus curvatus,0,118,28,118,118,1.0000,0.9685,1.0000,118,118,118,1,10,107,0,0,0.992,1.000
Latilactobacillus sakei,0,181,65,173,181,1.0000,0.9792,1.0000,181,181,181,1,172,0,0,8,0.994,1.000
Leuconostoc citreum,0,104,14,103,104,1.0000,0.9644,1.0000,104,104,104,103,0,0,0,1,1.000,1.000
Leuconostoc mesenteroides,0,337,75,335,337,1.0000,0.9887,1.0000,337,337,337,335,0,0,0,2,0.816,0.997
Levilactobacillus brevis,0,267,54,264,267,1.0000,0.9858,1.0000,267,267,267,2,262,0,0,3,0.985,0.989
Ligilactobacillus animalis,0,41,8,40,0,0.0000,0.0000,0.0857,0,0,0,0,0,0,40,1,1.000,1.000
Ligilactobacillus salivarius,0,342,46,341,0,0.0000,0.0000,0.0111,0,0,0,0,0,0,341,1,0.991,0.997
Limosilactobacillus antri,0,4,0,4,0,0.0000,0.0000,0.4899,0,0,0,0,0,0,4,0,1.000,1.000
Limosilactobacillus fermentum,0,387,91,384,0,0.0000,0.0000,0.0098,0,0,0,0,0,0,384,3,0.987,0.992
Limosilactobacillus mucosae,0,93,10,91,0,0.0000,0.0000,0.0397,0,0,0,0,0,0,91,2,0.989,0.978
Limosilactobacillus reuteri,0,500,79,500,0,0.0000,0.0000,0.0076,0,0,0,0,0,0,500,0,1.000,0.992
Pediococcus acidilactici,0,342,61,341,341,0.9971,0.9836,0.9995,341,341,341,0,337,3,1,1,0.000,0.994
Pediococcus pentosaceus,0,215,64,215,215,1.0000,0.9824,1.0000,215,215,215,94,118,3,0,0,0.047,0.981
